grantee,grantee_url,year,amount,issue_area,sub_issue_area,grant_info
Freedom to Marry,/grants/grantee/freedom-to-marry,2015,"$53,000",Gay and Lesbian Rights,Marriage Equality,"For seed funding for a documentary on how the gay movement moved the nation to embrace the freedom to marry. $53,000"
Friends of the Fromm Institute,/grants/grantee/friends-of-the-fromm-institute,2015,"$10,000",Community,,
Gay & Lesbian Advocates & Defenders,/grants/grantee/gay-lesbian-advocates-defenders,2015,"$49,000",Leadership,Investing in Our Grantees,"To develop organizational leadership and a strategic plan for the next phase in the movement for LGBT and racial equity. $49,000"
Gay & Lesbian Advocates & Defenders,/grants/grantee/gay-lesbian-advocates-defenders,2015,"$200,000",Gay and Lesbian Rights,Marriage Equality,"To pursue litigation to secure and defend marriage equality in all 50 states and protect gay couples from discrimination. $200,000"
Glide Foundation,/grants/grantee/glide-foundation,2015,"$5,000",Community,,
Golden Gate National Parks Conservancy,/grants/grantee/golden-gate-national-parks-conservancy,2015,"$20,000",Community,,
Golden Gate National Parks Conservancy,/grants/grantee/golden-gate-national-parks-conservancy,2015,"$5,000",Community,,
Golden Gate National Parks Conservancy,/grants/grantee/golden-gate-national-parks-conservancy,2015,"$10,000",Community,,
Golden Gate National Parks Conservancy,/grants/grantee/golden-gate-national-parks-conservancy,2015,"$5,000",Community,,
Golden Gate National Parks Conservancy,/grants/grantee/golden-gate-national-parks-conservancy,2015,"$2,500,000",Community,,"For capital enhancements at Crissy Field. $2,500,000"
Goodwin Simon Strategic Research,/grants/grantee/goodwin-simon-strategic-research,2015,"$75,000",Gay and Lesbian Rights,Research & Communications,"To support deeper research and message development around the importance of nondiscrimination protections for lesbian, gay, bisexual and transgender people. $75,000"
Goodwin Simon Strategic Research,/grants/grantee/goodwin-simon-strategic-research,2015,"$75,000",Gay and Lesbian Rights,Research & Communications,"To support research and message development around the importance of nondiscrimination protections for lesbian, gay, bisexual and transgender people. $75,000"
Grantmakers for Education,/grants/grantee/grantmakers-for-education,2015,"$4,000",Education Equity,,
Grantmakers for Education,/grants/grantee/grantmakers-for-education,2015,"$5,000",Education Equity,,
Grants Managers Network,/grants/grantee/grants-managers-network,2015,"$3,500",Community,,
Haas Jr. Fund Matching Gifts Program,/grants/grantee/haas-jr-fund-matching-gifts-program,2015,"$49,150",Community,,NOT PUBLIC
Hamilton Family Center,/grants/grantee/hamilton-family-center,2015,"$20,000",Community,,
Harbor House Ministries,/grants/grantee/harbor-house-ministries,2015,"$10,000",Community,,
Hispanics in Philanthropy,/grants/grantee/hispanics-in-philanthropy,2015,"$5,000",Community,,
Horizons Foundation,/grants/grantee/horizons-foundation,2015,"$3,500",Gay and Lesbian Rights,,
Horizons Foundation,/grants/grantee/horizons-foundation,2015,"$220,000",Gay and Lesbian Rights,Increasing LGBT Resources,"To improve fundraising skills in gay organizations and support executive and board leadership. $220,000 over 18 months (2015-2017)"
"Huckleberry Youth Programs, Inc.",/grants/grantee/huckleberry-youth-programs-inc,2015,"$15,000",Community,,
Immigrant Legal Resource Center,/grants/grantee/immigrant-legal-resource-center,2015,"$900,000",Immigrant Rights,Federal Immigration Reform,"For Ready California, a statewide campaign for administrative action implementation. $900,000"
Immigrant Legal Resource Center,/grants/grantee/immigrant-legal-resource-center,2015,"$200,000",Immigrant Rights,California Civic Participation,"For the New Americans Campaign to increase the number of new citizens nationwide. $200,000"
"Immigrant Nation, LLC",/grants/grantee/immigrant-nation-llc,2015,"$75,000",Community,,"To produce documentary films to highlight and share the University of California Berkeley's model for supporting its Dreamer students. $75,000"
Independent Sector,/grants/grantee/independent-sector,2015,"$12,500",Community,,
"Inland Congregations United for Change Sponsoring Committee, Inc.",/grants/grantee/inland-congregations-united-for-change-sponsoring-committee-inc,2015,"$50,000",Immigrant Rights,California Statewide and Local Policy,"For the Justice for Immigrants Coalition project to strengthen the immigrant rights movement in the Inland Empire. $50,000"
Jonsson Cancer Center Foundation - UCLA,/grants/grantee/jonsson-cancer-center-foundation-ucla,2015,$500,Community,,
La Casa de las Madres,/grants/grantee/la-casa-de-las-madres,2015,"$20,000",Community,,
Lambda Legal Defense and Education Fund,/grants/grantee/lambda-legal-defense-and-education-fund,2015,"$129,000",Gay and Lesbian Rights,Marriage Equality,"To pursue litigation to secure and defend marriage equality in all 50 states and protect gay couples from discrimination. $129,000"
Larkin Street Youth Services,/grants/grantee/larkin-street-youth-services,2015,"$15,000",Community,,
Many Voices,/grants/grantee/many-voices,2015,"$60,000",Gay and Lesbian Rights,Marriage Equality,"To engage African American clergy in preventing ""religious liberty"" claims from eroding gains in marriage equality and nondiscrimination protections. $60,000"
Meals On Wheels of San Francisco,/grants/grantee/meals-on-wheels-of-san-francisco,2015,"$1,000",Community,,
Mexican American Legal Defense and Educational Fund (MALDEF),/grants/grantee/mexican-american-legal-defense-and-educational-fund-maldef,2015,"$10,000",Immigrant Rights,,
Mexican American Legal Defense and Educational Fund (MALDEF),/grants/grantee/mexican-american-legal-defense-and-educational-fund-maldef,2015,"$120,000",Immigrant Rights,California Statewide and Local Policy,"For the California Immigrant Youth Justice Alliance project to develop immigrant youth leaders and amplify the voices of undocumented communities. $120,000 over two years (2015-2017)"
Mexican American Legal Defense and Educational Fund (MALDEF),/grants/grantee/mexican-american-legal-defense-and-educational-fund-maldef,2015,"$50,000",Leadership,Investing in Our Grantees,"To bolster the leadership structure of the California Immigrant Youth Justice Alliance project, a rapidly growing youth-led network. $50,000"
Mexican American Legal Defense and Educational Fund (MALDEF),/grants/grantee/mexican-american-legal-defense-and-educational-fund-maldef,2015,"$53,500",Leadership,Investing in Our Grantees,"To develop the senior team and strengthen fundraising to support national expansion. $53,500"
Mexican Cultural Center,/grants/grantee/mexican-cultural-center,2015,"$30,000",Immigrant Rights,California Statewide and Local Policy,"To support Dreamer scholarships in partnership with the Mexican Consulate in Sacramento. $30,000"
More Light Presbyterians,/grants/grantee/more-light-presbyterians,2015,"$35,500",Leadership,Investing in Our Grantees,"For board development and coaching for a first-time executive director. $35,500"
Movement Advancement Project,/grants/grantee/movement-advancement-project,2015,"$35,000",Gay and Lesbian Rights,Nondiscrimination,"To conduct and coordinate messaging research to change hearts and minds around issues of gay equality. $35,000"
Mujeres Unidas y Activas,/grants/grantee/mujeres-unidas-y-activas,2015,"$2,500",Immigrant Rights,,
Museum of Modern Art,/grants/grantee/museum-of-modern-art,2015,"$5,000",Community,,
National Center for Family Philanthropy,/grants/grantee/national-center-for-family-philanthropy,2015,"$30,000",Community,,"For general support. $30,000"
National Center for Lesbian Rights,/grants/grantee/national-center-for-lesbian-rights,2015,"$200,000",Gay and Lesbian Rights,Marriage Equality,"To pursue litigation to secure and defend marriage equality in all 50 states and protect gay couples from discrimination. $200,000"
National Committee for Responsive Philanthropy,/grants/grantee/national-committee-for-responsive-philanthropy,2015,"$15,000",Community,,
National Day Laborer Organizing Network,/grants/grantee/national-day-laborer-organizing-network,2015,"$125,000",Immigrant Rights,Federal Immigration Reform,"To organize day laborers to protect and expand immigrant rights. $125,000"
National Immigration Forum,/grants/grantee/national-immigration-forum,2015,"$250,000",Immigrant Rights,Federal Immigration Reform,"To lift up faith, business and law enforcement voices in support of immigration reform and integration. $250,000 over two years (2015-2017)"
National Lesbian & Gay Journalists Association,/grants/grantee/national-lesbian-gay-journalists-association,2015,"$10,700",Gay and Lesbian Rights,Research & Communications,
National LGBTQ Task Force,/grants/grantee/national-lgbtq-task-force,2015,"$200,000",Gay and Lesbian Rights,Marriage Equality,"To advance equal rights for gay people by broadening the gay movement's base of leadership. $200,000"
National LGBTQ Task Force Foundation,/grants/grantee/national-lgbtq-task-force-foundation,2015,"$1,500",Gay and Lesbian Rights,Cross Movement,
National LGBTQ Task Force Foundation,/grants/grantee/national-lgbtq-task-force-foundation,2015,"$25,000",Leadership,Investing in Our Grantees,
National LGBTQ Task Force Foundation,/grants/grantee/national-lgbtq-task-force-foundation,2015,"$625,000",Gay and Lesbian Rights,Marriage Equality,"For the Institute for Welcoming Resources and its partner organizations, to increase public support for marriage equality and other civil rights protections. $625,000"
National Queer Asian Pacific Islander Alliance,/grants/grantee/national-queer-asian-pacific-islander-alliance,2015,"$50,000",Gay and Lesbian Rights,Cross Movement,"To promote the DACA and Administrative Relief programs in gay Asian American immigrant communities. $50,000"
Nature Conservancy of Montana,/grants/grantee/nature-conservancy-of-montana,2015,"$1,000",Community,,
NEO Philanthropy,/grants/grantee/neo-philanthropy,2015,"$5,000",Immigrant Rights,California Civic Participation,
NEO Philanthropy,/grants/grantee/neo-philanthropy,2015,"$75,000",Leadership,Advancing Knowledge and Learning,"To build capacity to raise money from AAPI donors for civic engagement. $75,000"
